date,pr_number,branch,description,type,human_estimate_hrs,ai_actual_min,tokens_used,est_cost_usd,time_saved_pct,files_changed,files_added,files_deleted,lines_added,lines_deleted,skills_used,agents_used
2026-04-08,51,dzeder/tray-project-skill,feat(tray): Draft Order Item Cleanup project + tray-project skill,feat,6,45,120000,12,87.5,,,,,,tray-project-builder,
2026-04-13,105,dzeder/pr-telemetry,feat(ci): PR telemetry dashboard and automated metrics,feat,4,20,,,92,0,0,0,0,0,ship,Explore (x2); Plan (x1)
2026-04-13,106,dzeder/fix-item-line-type,fix(vip-srs): wire Item_Line/Item_Type lookups and collapse 99Z placeholders,fix,,,,,,0,0,0,0,0,,
2026-04-13,107,dzeder/ros-vip-data-load,feat(vip-srs): multi-customer tooling and ROS2 sandbox validation,feat,,,,,,0,0,0,0,0,,
2026-04-13,108,dzeder/fix-pr-ai-metrics,fix(ci): auto-populate PR AI metrics,fix,3,15,,,92,0,0,0,0,0,ship,Explore (x2); Plan (x1); adversarial subagent (x1)
2026-04-14,117,dzeder/vip-supplier-reports,feat(vip-srs): reusable SF reports & dashboards for VIP supplier data,feat,,,,,,0,0,0,0,0,,
2026-04-14,118,dzeder/tray-knowledge-update,docs(tray): comprehensive Tray knowledge update from 85+ real export analysis,docs,,,,,,0,0,0,0,0,,
2026-04-14,119,dzeder/vip-srs-ros-load,feat(vip-srs): supplier/distributor accounts; Category crosswalk; managed RT targeting,feat,,,,,,0,0,0,0,0,,
2026-04-14,120,dzeder/vip-supplier-overview,feat(vip-srs): enhance Supplier Overview dashboard (12 components),feat,,,,,,0,0,0,0,0,,
2026-04-14,122,dzeder/vip-ros-integration,feat(vip-srs): supplier/distributor accounts; Category crosswalk; managed RT targeting (#119),feat,,,,,,0,0,0,0,0,,
2026-04-14,123,dzeder/agent-orchestration,feat(agents): add orchestration layer — skill index; chains; context probe; and orchestrator agent,feat,,,,,,0,0,0,0,0,,
2026-04-14,124,dzeder/vip-supplier-dash-review,feat(vip-srs): add 7 new reports; fix revenue field; expand Supplier Overview to 18 components,feat,,,,,,0,0,0,0,0,,
